SERFF Tr Num,Filing Type,Date Submitted,Effective Date Requested (New),Effective Date Requested (Renewal),SERFF Status,Filing Description,Filing Method,TOI,Group_Code,Company_Codes,week_date,gpt_3_5_summary,o1_mini_summary,xai_summary
LBPM-134402349,Rate,02/11/2025,03/06/2025,04/15/2025,Closed-Filed,"This revision impacts New Business and Renewal business policies on or after March 6th, 2025, and April 15th, 2025.
We are proposing the following revisions to our American Economy Insurance Company Program:
Homeowners:
Home Rating Manual: Multi-Policy Discount
Home Tiering Manual: Peril Offset
This filing contains materials that are designated as “Privileged and Confidential: Trade Secret Material”. We ask that those
documents be exempt from public disclosure and remain confidential.
We appreciate your review of this filing and look forward to your timely approval.  Please feel free to contact us with any
questions or concerns.",,04.0 Homeowners,111,[19690],2025-02-24,"Based on the rate filing information provided, the American Economy Insurance Company submitted a rate filing for their Homeowners insurance product in the state of Arkansas with the following key details:

- Filing Type: Rate
- Effective Date Requested:
  - New Business: 03/06/2025
  - Renewal Business: 04/15/2025
- Overall Rate Impact:
  - Overall % Indicated Change: -1.100%
  - Overall % Rate Impact: -2.000%
- Written Premium Change for this Program: -$413,389
- Number of Policyholders Affected: 10,549
- Written Premium for this Program: $39,236,602
- Filing Method: File & Use
- Rate Change Type: Decrease
- Overall Percentage of Last Rate Revision: 29.900%
- SERFF Tracking Number of Last Filing: LBPM-134172889

The rate filing primarily focused on adjustments to the Multi-Policy Discount within their Homeowners Rating Manual. It involved multiple attachments and supporting documents, including Actuarial Justification exhibits and Loss Cost Data Entry documents. The company used a File & Use method with a requested effective date of 03/06/2025 for new business and 04/15/2025 for renewal business policies.

Additionally, the filing included objections raised during the review process, objection letters, response letters, and related correspondence between stakeholders involved in the filing process. The",,
LBPM-134415366,Form,02/12/2025,05/19/2025,06/23/2025,Closed-Approved,"In accordance with Arkansas filing provision, we respectfully submit the following revisions for our Homeowners program.
The information below provides a list of forms submitted with this filing.  In addition, it also provides a summary of the major
coverage or policies differences from our currently approved homeowner policy.
Our company would like to have the option of reformatting text or moving boxes, where applicable, to accommodate marketing
requirements and printing of forms. The format of the forms may vary depending on the needs of our clients (e.g. paper size,
electronic distribution, etc.). The language will remain the same as approved by your Division and any font requirements will be
maintained.
We appreciate your review of this filing. Should you have any questions or concerns, please do not hesitate to contact me
directly.
This form will be used for renewal business only as we no longer write new business in these companies.
The following provides a summary for each form submitted with this filing.
•New Form: FMHO 2023 01 25/Replaced Form: FMHO 2023
•New Form: FMHO 547 01 25/Replaced Form: FMHO 547 05 91
•New Form: FMHO 2030 01 25/Replaced Form: FMHO 2030
oPlease note that the previous version of FMHO 2030 predates SERFF, and the filing in question is outside of our internal
record retention policy.
•New Form: FMHO 1182AR 01 25/Replaced Form: FMHO 1182AR 05 17
oAdditions: Matching of siding, “roof surfacing” or windows excluded
oModifications: We also took this opportunity to update the old forms to follow our standards of placing defined terms in
quotation marks and bolding section titles.",,04.0 Homeowners,111,"[42404, 23035, 33600]",2025-02-24,"Summary of the Rate Filing:
- Companies involved: Liberty Insurance Corporation, Liberty Mutual Fire Insurance Company, LM Insurance Corporation
- Product Name: Homeowners
- State: Arkansas
- Type of Insurance: Homeowners
- Filing Type: Form
- Date Submitted: 02/12/2025
- SERFF Tracking Number: LBPM-134415366
- Disposition Date: 02/20/2025
- Disposition Status: Approved
- Effective Date Requested:
  - New: 05/19/2025
  - Renewal: 06/23/2025
- Authors: Allen Ames, Matthew Rowland
- Reviewer: Becky Harrington
- General Changes:
  - Revisions for the Homeowners program in accordance with Arkansas filing provisions
  - Reformatting text and moving boxes for marketing requirements
  - Policy differences from the previously approved homeowner policy
  - Renewal business only, no new business
- Forms Submitted:
  - New Form FMHO 2023 01 25 replaced FMHO 2023
  - New Form FMHO 547 01 25 replaced FMHO 547 05 91
  - New Form FMHO 2030 01 25 replaced FMHO 2030
  - New Form FMHO 1182AR 01 25 replaced FMHO 1182AR 05 17
- Major Changes:
  - Expansion",,
SFMA-134403457,Rule,02/07/2025,03/15/2025,05/15/2025,Closed-Filed,"We are filing revised rates to our independent Arkansas Homeowners Program, which results in a rate level change of 0.0%
for that program in the State Farm Fire and Casualty Company.  The details of and support for the change are outlined in the
attached Filing Memorandum and supporting exhibits.
The rate level changes contained in this filing specifically consider the expected effect that any prior changes in policy
language will have on our future underwriting experience.   The changes detailed in this filing reflect our best efforts to
recognize our actuarially suggested income needs and have premiums that are as competitive as possible.
We do not rely solely on rate activity to achieve our objective of continued financial solidity.  We also concentrate on continued
improvements in the way we service the business we write.  These improvements range from internal expense controls to
ongoing enhancements in the loss settlement process.  We also invest and participate in many loss prevention and control
activities.  Attached is an exhibit that outlines some of these activities.
Form H-1 has not been attached because no changes have been made.
We see no positive or negative impact of our rates on the affected fire departments.
We submit this filing to be effective March 15, 2025 for new business and May 15, 2025 for renewals.
Sincerely,
Erin G Winters,   F.C.A.S, CPCU, MAAA, CLU
309-735-1553
erin.g.winters.sfms@statefarm.com
Dan Kuntz,   F.C.A.S, CPCU, MAAA
309-766-0045
dan.kuntz.uzni@statefarm.com",,04.0 Homeowners,176,[25143],2025-02-24,"The rate filing submitted by State Farm Fire and Casualty Company for their independent Arkansas Homeowners Program involves revised rates with a rate level change of 0.0%. The filing includes the introduction of various Wind/Hail deductible options ranging from 1% to 5%. Customers will be required to carry a minimum 1% deductible for the Wind and Hail perils. The basic premium adjustments also reflect a coverage effect of 6.2% combined with a premium effect of -5.8% leading to an overall 0.0% change. The revised rates consider factors such as changes in policy language, actuarially suggested income needs, and competitiveness of premiums. Additionally, improvements to service, internal expense controls, loss settlement processes, and loss prevention activities are highlighted in the filing.

The revised rates will be effective on March 15, 2025, for new business and May 15, 2025, for renewals. The filing was reviewed by multiple individuals, including author Erin G Winters and primary reviewer Becky Harrington, and was successfully filed on February 20, 2025. The revised rates focus on maintaining financial stability while enhancing customer service and risk management strategies.",,
ALSE-134423427,Rule,02/19/2025,03/10/2025,04/24/2025,Closed-Acknowledged,"With this filing, Allstate is proposing changes to the Installment Fee and Late Payment Fee for the Allstate Insurance Company
(AIC) Condominium (CON) and Homeowners – Owner Occupied Homeowners (HO) programs in the state of Arizona.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 03/10/2025, and for renewals effective on or after 04/24/2025.
This filing company is closed to new business. Allstate has, however, supplied a new business effective date for special
business cases. For example, to accommodate a new business policy in the same company to a policyholder that has been
reinstated, or if a cancel/re-write is necessary.",,04.0 Homeowners,8,[19232],2025-02-24,,,
ALSE-134423455,Rule,02/19/2025,03/10/2025,04/24/2025,Closed-Acknowledged,"With this filing, Allstate is proposing changes to the Installment Fee and Late Payment Fee for the Allstate Indemnity Company
(AI) Condominium (CON) and Homeowners – Owner Occupied Homeowners (HO) programs in the state of Arizona.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 03/10/2025, and for renewals effective on or after 04/24/2025.
This filing company is closed to new business. Allstate has, however, supplied a new business effective date for special
business cases. For example, to accommodate a new business policy in the same company to a policyholder that has been
reinstated, or if a cancel/re-write is necessary.",,04.0 Homeowners,8,[19240],2025-02-24,,,
ALSE-134423481,Rule,02/19/2025,03/10/2025,04/24/2025,Closed-Acknowledged,"With this filing, Allstate is proposing a change to the Installment and Late Payment Fees for the Allstate Vehicle and Property
Insurance Company (AVPIC) Condominium (CON) program in the state of Arizona.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 03/10/2025, and for renewals effective on or after 04/24/2025.",,04.0 Homeowners,8,[37907],2025-02-24,,,
ALSE-134424632,Rule,02/19/2025,03/10/2025,04/24/2025,Closed-Acknowledged,"With this filing, Allstate is proposing changes to the Installment Fee and Late Payment Fee for the Allstate Property and
Casualty Insurance Company (APC) Homeowners – Owner Occupied Homeowners (HO) programs in the state of Arizona.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 3/10/2025 and for renewals effective on or after 4/24/2025.
This filing company is closed to new business. Allstate has, however, supplied a new business effective date for special
business cases. For example, to accommodate a new business policy in the same company to a policyholder that has been
reinstated, or if a cancel/re-write is necessary.",,04.0 Homeowners,8,[17230],2025-02-24,,,
ALSE-134424807,Rule,02/19/2025,03/10/2025,04/24/2025,Closed-Acknowledged,"With this filing, Allstate is proposing changes to the Installment Fee and Late Payment Fee for the Allstate Indemnity Company
(AI) Homeowners -Renters (REN) programs in the state of Arizona.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 3/10/2025 and for renewals effective on or after 4/24/2025.",,04.0 Homeowners,8,[19240],2025-02-24,,,
ALSE-134424886,Rule,02/19/2025,03/10/2025,04/24/2025,Closed-Acknowledged,"With this filing, Allstate is proposing changes to the Installment Fees and Late Payment Fee for the Allstate Insurance
Company (AIC) Homeowners – Mobilehome/Manufacture Home (MBH) program in the state of Arizona.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 3/10/2025 and for renewals effective on or after 4/24/2025.
This filing company is closed to new business. Allstate has, however, supplied a new business effective date for special
business cases. For example, to accommodate a new business policy in the same company to a policyholder that has been
reinstated, or if a cancel/re-write is necessary.",,04.0 Homeowners,8,[19232],2025-02-24,"The rate filing from Allstate Insurance Company for their AIC MBH (Mobile Homeowners) product in Arizona proposes the following changes:

1. **Increase in Installment Fees:**  
    - Allstate is proposing to increase the Installment Fee for the Allstate Easy Pay Plan from $1.50 to $2.00.
    - They are also planning to increase the Installment Fee for all other payment methods (excluding Allstate Payroll Deductions) from $4.00 to $5.00.

2. **Late Payment Fee Increase:**  
    - The Late Payment Fee is set to increase from $10.00 to $15.00.

3. **Effective Dates:**  
    - The changes will apply to new business written on or after 3/10/2025 and for renewals effective on or after 4/24/2025.

4. **Acknowledgments:**  
    - The filing was acknowledged by the Department of Insurance on 02/20/2025.
    - Arizona follows a ""use and file"" approach, and the Department retains the right to re-engage if rates are found to be non-compliant.

Overall, the rate filing aims to adjust the fees associated with installment payments and late payments for mobile homeowners policies in Arizona under the AIC MBH program.",,
ALSE-134424967,Rule,02/19/2025,03/10/2025,04/24/2025,Closed-Acknowledged,"With this filing, Allstate is proposing changes to the Installment Fees and Late Payment Fee for the Allstate Indemnity
Company (AI) Homeowners-Manufactured Home (MFH) program in the state of Arizona.
Further information regarding these changes can be found in the enclosed attachments.
This change will apply to new business written on or after 3/10/2025 and for renewals effective on or after 4/24/2025.",,04.0 Homeowners,8,[19240],2025-02-24,,,
