SERFF Tr Num,Filing Type,Date Submitted,Effective Date Requested (New),Effective Date Requested (Renewal),SERFF Status,Filing Description,Filing Method,TOI,Group_Code,Company_Codes,week_date,gpt_3_5_summary,o1_mini_summary,xai_summary
ALSE-134300517,Model - Other,10/29/2024,,,Closed-Approved,"With this filing, Allstate is stating its intention to introduce a new Homeowners program using the enclosed Geographic and
Hurricane Rate Plan Models in a subsequent rate filing. Further information regarding this model can be found in the enclosed
attachments.",,04.0 Homeowners,8,[11110],2025-03-03,"Summary of the Rate Filing:
- Company: Allstate North American Insurance Company
- Product Name: ANAIC HO (Homeowners Insurance)
- State: Alabama
- Type of Insurance: Homeowners (Owner Occupied)
- Filing Type: Model - Other
- Date Submitted: 10/29/2024
- SERFF Tracking #: ALSE-134300517
- Filing Status: Closed-Approved
- Effective Date: On Approval
- Filing Contact: Rhonda Amann (State Filings Manager)
- Filing Description: Allstate is introducing a new Homeowners insurance program using Geographic and Hurricane Rate Plan Models in a subsequent rate filing.
- Filing Fee: $100.00 (Property, Casualty, Marine, and Surety Model filing)

Overall, the rate filing involves the introduction of a new Homeowners insurance program by Allstate in Alabama, utilizing specific Geographic and Hurricane Rate Plan Models. The filing has been approved by the state and the company has outlined its intention to implement this new program upon approval.",,
LBPM-134436753,Rate,02/26/2025,04/01/2025,05/06/2025,Closed-Approved,"With this revision, Liberty Mutual Insurance Company (LMIC) and Peerless Indemnity Insurance Company (PIIC) request to
revise their rating factors within their homeowner program. These revisions will be effective for new business policies written
on or after April 1, 2025 and renewal business policies renewing on or after May 6, 2025. The overall rate effect for this change
is -25.0%.
Rate Revisions:
•Base Rates
•Fixed Expense
•Fixed Expense (Landlord)
The applicable filing materials are included with this SERFF submission.
Thank you for reviewing our filing. We look forward to your acknowledgement. If you have any questions or need additional
information, please contact us.",,04.0 Homeowners,111,"[23043, 18333]",2025-03-03,"The rate filing submitted by Liberty Mutual Insurance Company and Peerless Indemnity Insurance Company for their Homeowners insurance product in Alabama includes revisions to the rating factors within their homeowner program. The effective date for these revisions is specified as April 1, 2025, for new business policies and May 6, 2025, for renewal business policies. The overall rate effect for this change is noted as a decrease of -25.0%.

The filing includes modifications to various rate components such as Base Rates, Fixed Expenses, and Fixed Expenses for Landlord properties. The documents submitted with the filing provide detailed information on the changes made to each component, including base rates and expense rates. The filing also mentions the approval status, with the disposition date noted as February 27, 2025, and a status of ""Closed-Approved.""

The companies involved, Liberty Mutual Insurance Company and Peerless Indemnity Insurance Company, have provided detailed contact information for further inquiries related to the filing. The filing includes a description of the rate revisions, information on the associated fees, details on any models used in the calculation of rates, and the statutory guidelines followed for trade secret confidentiality.

Overall, the rate filing aims to adjust the rating factors for the Homeowners insurance product in Alabama, with the changes expected to benefit policyholders through a reduced overall rate effect.",,
TRVD-G134425501,Rule,02/25/2025,04/13/2025,06/02/2025,Closed-Filed,"With this filing we are revising our Quantum Homeowners 2.0, Quantum Homeowners and Homeowners products as detailed
in the accompanying documentation.",,04.0 Homeowners,3548,"[19062, 19070, 27998, 25666, 36137, 38130]",2025-03-03,"Based on the filing provided, here is a summary of the rate filing for the insurance company in Arkansas:

1. **Companies Listed:** The Automobile Insurance Company of Hartford, Connecticut; The Standard Fire Insurance Company; The Travelers Home and Marine Insurance Company; The Travelers Indemnity Company of America; Travelers Commercial Insurance Company; Travelers Personal Insurance Company

2. **Product Name:** Quantum Homeowners 2.0, Quantum Homeowners, Homeowners

3. **State:** Arkansas

4. **Type of Insurance:** Homeowners insurance

5. **Filing Type:** Rule

6. **Effective Date Requested:** 
   - New: 04/13/2025
   - Renewal: 06/02/2025

7. **Overall Rate Impact:** 0.000%

8. **Additional Coverages and Enhancements:** The filing includes various additional coverages and enhancements such as High Value Home Coverage, Loss Assessment Coverage, Enhanced Home Package, and more.

9. **Premium Adjustments:** Premium adjustments are made based on factors like construction type, protection class, coverage limits, and additional coverages chosen by the insured.

10. **Endorsements:** Endorsements like ACE Endorsement, Loss Assessment Coverage, Dwelling Under Construction Coverage, and Identity Fraud Expense Reimbursement Coverage are available for added protections.

11. **Optional Coverages:** Optional coverages are offered for building additions, increased limits for business property,",,
TRVD-134038097,Rule,03/21/2024,04/28/2024,,Closed-Acknowledged,"With this filing, we are submitting AZ Specific Travelers Insurance Score Model as detailed in the accompanying
documentation.",,04.0 Homeowners,3548,"[27998, 36137]",2025-03-03,"The rate filing is a submission by The Travelers Home and Marine Insurance Company for their product TIS 1.0 in Arizona for homeowners insurance. The filing involves a rule change and was submitted on 03/21/2024. The effective date requested for both new business and renewals is 04/28/2024. The filing has been acknowledged by the state, with a disposition date of 02/28/2025. The filing includes objections from the Department of Insurance related to model validation, statistical testing, model outputs, and other compliance issues. The objections have triggered responses from the company addressing each specific objection in detail. The correspondence includes extension requests and responses to objections from the state reviewer, Kim Richardson. The company's Regulatory Analyst, Kim Richardson, is the primary contact for the filing.",,
TRVD-G134416866,Rate,02/13/2025,,04/26/2025,Closed-Acknowledged,With this filing we are amending our Homeowners program as detailed in the accompanying Explanatory Memorandum.,,04.0 Homeowners,3548,"[27998, 36137]",2025-03-03,"The insurance company, The Travelers Home and Marine Insurance Company, has submitted a rate filing for its Quantum Homeowners & High Value Homeowners - Dwelling product in the state of Arizona. The filing includes amendments to their Homeowners program, with a +8.0% impact on Dwelling. The filing is a rate increase type with an overall percentage rate indicated for this filing at 22.000%. The effective date requested for the renewal is 04/26/2025.

The rate filing was submitted on 02/13/2025 and was acknowledged with a disposition date of 02/27/2025. The filing includes multiple companies under The Travelers brand, such as The Travelers Home and Marine Insurance Company and Travelers Commercial Insurance Company. The filing company's project name/number is PIECSR-581/2025-02-0704A.

Various supporting documents and schedules have been filed alongside the rate changes, such as the Actuarial Supporting Exhibit Requirements, the General Filing Checklist and Instructions for All Lines, and others. Additionally, objections and responses have been submitted regarding the rate changes, addressing concerns about the indicated rate change and steps taken to reduce the possibility of inadequate rates.

The rate change is based on thorough analysis, considering factors like past and prospective loss experience, catastrophe hazards, underwriting profit, and industry trends. The insurer has detailed methodologies and calculations supporting the rate adjustments, including factors like Premium Trend, Loss Trend, Catastrophe Loss",,
TRVD-G134417169,Rate,02/13/2025,,04/26/2025,Closed-Acknowledged,With this filing we are amending our Homeowners program as detailed in the accompanying Explanatory Memorandum.,,04.0 Homeowners,3548,"[27998, 36137]",2025-03-03,"Based on the provided filing information, it appears that The Travelers Home and Marine Insurance Company and Travelers Commercial Insurance Company have submitted a rate filing for their Quantum Homeowners & High Value Homeowners - Condo products in the state of Arizona. Here is a summary of the key details from the filing:

1. **Product Name**: Quantum Homeowners & High Value Homeowners - Condo
2. **Companies**: The Travelers Home and Marine Insurance Company, Travelers Commercial Insurance Company
3. **State**: Arizona
4. **Type of Filing**: Rate
5. **Effective Date Requested**: New – 04/26/2025; Renewal – 04/26/2025
6. **Overall Rate Impact**:
   - The Travelers Home and Marine Insurance Company: 11.7% indicated change, 2.0% rate impact
   - Travelers Commercial Insurance Company: 11.7% indicated change, 2.0% rate impact
7. **Filing Status**: Acknowledged
8. **SERFF Status**: Closed-Acknowledged
9. **Filing Contact**: Kim Richardson, Sr. Regulatory Analyst
   - Email: klricha2@travelers.com
   - Phone: 865-777-6535
10. **Company Information**:
   - The Travelers Home and Marine Insurance Company:
     - Address: One Tower Square, Hartford, CT 06183",,
ALSE-134306035,Rule,11/01/2024,05/01/2025,05/01/2025,Closed-Approved,"With this filing, Encompass Insurance Company proposes revisions to its Homeowners Underwriting Guidelines in the state of
California.
Please see the Filing Memorandum and Supporting Documents for more information regarding the revisions proposed in this
filing.",,04.0 Homeowners,8,[10358],2025-03-03,"Here is a detailed summary of the objections and responses highlighted in the filings related to the underwriting guidelines of Encompass Insurance Company:

1. **Objection 1 (Addressed in Response 1 on 01/06/2025):**
   - **Summary:** The objection raised concerns about changes in the wildfire risk score and their impact on policyholders. Specific questions were posed regarding policyholder impact and reasons for the changes.
   - **Response:** Encompass detailed their mitigation efforts against wildfire risk, explaining the rationale behind changing the renewal wildfire score to 20. They clarified that there is no rate impact as Encompass does not rate on wildfire score.

2. **Objection 2 (Addressed in Response 1 on 01/17/2025):**
   - **Summary:** This objection pertained to the determination of current rates sufficiency, the premium amount for policies planned for non-renewal, and the process for non-renewals.
   - **Response:** Encompass reviewed loss experience for different wildfire risk score categories and determined that current rates are sufficient. The premium amount for non-renewal policies was $3,688,724, and no non-renewals had started as of their response date. Encompass planned to start non-renewals on 5/1/25 but paused this due to wildfire moratoriums.

3. **Objection 3 (Addressed in Response 1 on 01/28/2025):",,
LBRM-134233558,Rule,09/03/2024,04/19/2025,04/19/2025,Closed-Approved,"We are submitting a Rule Filing for the Safeco Insurance Company of America, Safeco Insurance Company of Illinois, and
First National Insurance Company of America. With this filing, we are making updates to our eligibility guidelines to clarify and
refine our appetite.
If we can answer any questions or provide additional information, please do not hesitate to contact us.
Thank you for your time and consideration.",,04.0 Homeowners,111,"[24724, 24740, 39012]",2025-03-03,"The rate filing submitted by First National Insurance Company of America, Safeco Insurance Company of America, and Safeco Insurance Company of Illinois pertains to homeowners insurance in California. The filing includes updates to the eligibility guidelines and rules to clarify and refine their underwriting appetite. The effective date requested for both new business and renewal business is 04/19/2025. The filing was submitted on 09/03/2024 and was approved with a disposition date of 03/03/2025. The filing encompasses changes to the Product Guide, Eligibility Guidelines, and supporting documents, with no rate changes indicated. The disposition status is approved, and the changes specified in the application have been approved for implementation.",,
LBRM-134354159,Rate/Rule/Form,12/17/2024,01/01/2026,01/01/2026,Closed-Acknowledged,"In accordance with the California Department of Insurance, First National Insurance Company of America is formally
submitting a withdrawal filing for its Legacy Homeowners Product. Safeco Insurance submits the attached withdrawal notice
pursuant to CIC § 674.6 which requires 60 days advance notice to the department for the withdrawal of a product.  We have
already submitted updated indications reflecting policy impacts within our pending rate filing, SERFF # LBRM-134134101.
We are simplifying and focusing our investments on core go-forward products and will no longer be offering this product in the
state of California within First National Insurance Company of America.
Below are the complete filing exhibits:
- Prior Approval Rate Application: The latest rate filings are identified. This would be a Form/Rate/Rule 0.0% rate change.
- Exhibit 1 Filing History: Listed are the previously approved CDI filing numbers for the last three years.
- Withdrawal Letter
- Non-renewal Notice",,04.0 Homeowners,111,[24724],2025-03-03,"Based on the filing provided, the First National Insurance Company of America is formally submitting a withdrawal filing for its Legacy Homeowners Product in the state of California. The withdrawal is effective as of January 1, 2026, and the company has affirmed that it will not renew any policies from the withdrawn program into any similar programs offered by the same insurer group in California. Additionally, the company has agreed not to file a replacement program for at least 3 years after the effective date of the withdrawal.

Key Points from the Filing:
1. **Company Information:** 
   - Filing Company: First National Insurance Company of America
   - Domiciled in: New Hampshire
   - State of Filing: California
   - Product Name: Homeowners

2. **Filing Details:**
   - **Effective Date Requested:** 01/01/2026
   - **Filing Type:** Rate/Rule/Form
   - **Disposition Status:** Acknowledged

3. **Submitted Documents and Changes:**
   - Withdrawal Letter
   - Non-Renewal Notice
   - New Prior Approval Rate Application
   - Exhibit 1 - Legacy
   - PriorAppRateAPL Forms
   - Product Guide changes
   
4. **Correspondence Summary:**
   - Series of Objection and Response Letters exchanged between Christine Ray and Yizun Chen regarding the withdrawal and non-renewal process.

Overall, the filing indicates a strategic decision",,
LBPM-134412448,Rate,02/14/2025,04/14/2025,05/31/2025,Closed-Filed,"With this filing effective April 14, 2025, for New Business and May 31, 2025, for Renewal Business; Safeco Insurance
Company of America and American Economy Insurance Company are proposing updates to our Dwelling and Condominium
products currently on file with your department. The updates are as follows.
Safeco insurance Company of America:
-Home: Base Rates
-Home: Package Unities
-Home: Roof Age
-Condo: Base Rates
-Condo: Loss Assessment
American Economy Insurance Company
-Condo: Base Rates
-Condo: Coverage A Base
-Condo: Loss Assessment
Safeco Insurance Company of America home will have an impact of 13% and condo will have an impact of 35.9%. American
Economy Insurance Company will have a total impact of 36.0%.
This filing does not contain any confidential information. Should the need arise in the future to submit confidential information
under this filing, we will submit a confidentiality index.
For our GLM documentation in Safeco Insurance Company of America, please see SERFF filing # LBPM-131128190. There
are no changes to our GLM with this filing and we are providing this information to satisfy the state specific question regarding
GLMs.
For our GLM documentation in American Economy Insurance Company, please see SERFF filing LBPM-132085715. There
are no changes to our GLM with this filing and we are providing this information to satisfy the state specific question regarding
GLMs.
Thank you for reviewing our filing. If you have any questions or need any additional information, please feel free to contact us.",,04.0 Homeowners,111,"[19690, 24740]",2025-03-03,"The rate filing document provides detailed information on the proposed updates for Dwelling and Condominium products by Safeco Insurance Company of America and American Economy Insurance Company in Colorado. Here is a summary of the key points from the filing:

- Companies Involved:
  - American Economy Insurance Company
  - Safeco Insurance Company of America

- Product Name: Homeowners

- Type of Filing: Rate
- Date Submitted: 02/14/2025

**American Economy Insurance Company:**
- Proposed Updates for Condominium Products:
  - Base Rates
  - Coverage A Base
  - Loss Assessment
- Overall Impact: 36.0%

**Safeco Insurance Company of America:**
- Proposed Updates for Homeowners Products:
  - Base Rates
  - Package Unities
  - Roof Age
- Proposed Updates for Condominium Products:
  - Base Rates
  - Loss Assessment
- Impact:
  - Homeowners: 13%
  - Condominium: 35.9%

- Overall Rate Information:
  - Overall Percentage Rate Indicated For This Filing: 19.6%
  - Overall Percentage Rate Impact For This Filing: 15.2%
  - Effective Date Requested (New): 04/14/2025
  - Effective Date Requested (Renewal): 05/31/2025

- Filing Notes:
  - The filing has been reviewed and filed with a",,
