SERFF Tr Num,Filing Type,Date Submitted,Effective Date Requested (New),Effective Date Requested (Renewal),SERFF Status,Filing Description,Filing Method,TOI,Sub-TOI,State,Group_Code,Company_Codes,week_date,gpt_3_5_summary,o1_mini_summary,xai_summary,claude_3_haiku_summary,claude_3_5_sonnet_summary,MyNotes
GMMX-134450913,Form,3/7/2025,5/12/2025,5/12/2025,Closed-Filed,The purpose of this filing is to submit the Summary of Coverage for Encompass Insurance Company new product.,,04.0 Homeowners,04.0005 Other Homeowners,CO,8,[10358],3/10/2025,"Based on the information provided from the filing with the DOI, the insurance company Encompass Insurance Company submitted a rate filing for a new product related to homeowners, condo, renters, and landlord insurance policies in Colorado. The product name is labeled as CO_Encompass_Insurance_Co_C360_PROP_Implemetation. The filing includes summaries of coverage for each type of policy mentioned above.

The rate filing details the coverage options provided by Encompass Insurance Company for each type of policy, including coverage for dwelling, personal property, other structures, loss of use/additional living expenses, personal liability, and medical payments to others. The filing also outlines general exclusions and reasons for cancellation, nonrenewal, or an increase in premium for each type of policy.

Encompass Insurance Company emphasizes the importance of conducting an annual review of property coverage to ensure policyholders are adequately insured, especially in Colorado where there is potential for large losses due to various natural disasters. Additionally, the company advises policyholders to maintain a copy of their policy documents in a safe and secure location away from their property.

Overall, the rate filing provides a comprehensive overview of the coverage options and considerations for homeowners, condo, renters, and landlord insurance policies offered by Encompass Insurance Company in Colorado.",,,"Based on the information provided, this appears to be a form filing rather than a rate filing. The key points are:

1. This is a filing by Encompass Insurance Company for their new product in Colorado - ""CO_Encompass_Insurance_Co_C360_PROP_Implemetation"".

2. The filing includes the summary of coverage forms for different types of homeowner/condominium/renter/landlord policies. These are disclosure forms that summarize the key coverages, exclusions, and policy provisions.

3. It is a form filing under the Homeowners TOI/Sub-TOI, so it does not include any rate/premium information. 

4. The filing was submitted on 3/7/2025, reviewed, and closed as ""Filed"" on the same date by the Colorado DOI.

5. There are no details provided about any rate changes or factors affecting premiums. The filing appears to be focused on introducing the new policy forms rather than making any rate changes.

In summary, this is a form filing to introduce new homeowner, condominium, renter, and landlord policy summary disclosure forms. It does not contain any rate or premium information.",,
LBPM-134449473,Rate/Rule other than PPA,3/7/2025,6/21/2025,7/26/2025,Submitted to State,"We are submitting this filing to update our fees. Please see the associated filing exhibits for the detailed changes.
As always, if you have any questions or concerns, please feel free to contact me. Thank you for your consideration.",,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,GA,111,[33588],3/10/2025,"From the provided filing information, here is a summary of the rate filing for The First Liberty Insurance Corporation's Homeowners insurance product in Georgia:

- **Company**: The First Liberty Insurance Corporation
- **Product Name**: Homeowners
- **State**: Georgia
- **Type of Insurance**: Homeowners
- **Filing Type**: Rate/Rule other than PPA
- **Filing Method**: Prior Approval
- **Effective Date Requested (New)**: 06/21/2025
- **Effective Date Requested (Renewal)**: 07/26/2025
- **Rate Change Type**: Neutral
- **Overall Percentage of Last Rate Revision**: 12.500%
- **Filing Fee**: $75.00
- **Rate Indication**: 0.0%
- **Update**: The filing was submitted to update billing fees for alignment in the fee structure by state, line of business, and brand to simplify and streamline processes.

In summary, The First Liberty Insurance Corporation made a rate filing for its Homeowners insurance product in Georgia with a neutral rate change and requested an effective date for the new rates. The filing included updates to billing fees to improve customer, employee, and agent experience.",,,"Based on the filing, the key points are:

1. The First Liberty Insurance Corporation is submitting this rate filing to update their fees for Homeowners insurance in Georgia. 

2. The main changes are:
- Updating the premium payment plan rules to simplify the installment fee structure. Previously there was a 1.25% finance charge on the unpaid balance, which is being replaced with a flat dollar installment fee.
- Implementing a $15 late payment fee for unpaid premium installments.

3. The filing indicates these changes are part of an effort to simplify and streamline the company's billing processes across lines of business and states. 

4. There is no overall rate level change requested, the filing is just for the fee updates.

5. The company's domicile is Illinois, but the $75 Georgia filing fee applies since it is greater than the Illinois fee.

In summary, this appears to be a relatively straightforward rate/rule filing focused on updating the billing/payment rules for The First Liberty Insurance Corporation's Homeowners product in Georgia, with no overall rate level impact.",,The GPT summary doesn't give the actual changes to the installment fees. It just says the company is changing their fee structure. The Claude summary notes explicitly that they're updating late payments to be a fixed dollar amount isn't of variable
LBPM-134449496,Rule,3/7/2025,5/19/2025,,Closed-FILED,"In accordance with Idaho’s filing provision, we are introducing a Rule update to Liberty Mutual Personal Insurance Company,
which was licensed by an Idaho Certificate of Authority dated December 31, 2019, and Liberty Mutual Insurance Company
(LMIC), which was licensed by an Idaho Certificate of Authority dated May 02, 2002. We are requesting a New Business
effective date of 5/19/2025.
The introductory Homeowners Rate/Rule filing was submitted under SERFF Tracking Number LBPM-133458815 in Idaho in
November 2022.
Due to our internal system limitations, we are seeking approval by 5/1/2025 to implement on the requested effective dates and
have filed 57 days in advance of that date.
This rule change will impact New Business policies only. There is no impact to in-force policies. The rate impact is 0.0%.
Domicile Status: This rule filing is a revision to our Homeowners program that was filed and approved in Idaho under SERFF
Tracking Number LBPM-133458815. It was filed under SERFF Tr.# LBPM-133524120 in Massachusetts, and under SERFF
Tr.# LBPM-134149810 in New Hampshire. We anticipate introducing the same rule revision in Massachusetts and New
Hampshire as we prioritize internal programming resources. These revisions comply with all Idaho laws and regulations. For
this reason, we ask that this filing be permitted for review in Idaho ahead of domiciliary approval.
Summary of Filing Materials:
•Rule Manual Mock and Proof (Changing pages only)
•Idaho Rule Filing Certification
We appreciate your review of this filing. Should you have any questions or concerns, please do not hesitate to contact us
directly.",,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,ID,111,"[23043, 12484]",3/10/2025,"The rate filing submitted by Liberty Mutual Insurance Company and Liberty Mutual Personal Insurance Company for their Homeowners product in Idaho requested a neutral rate change. The overall percentage of the last rate revision was -7.000% with an effective date of 02/05/2025. The rate data was filed under the Use & File method, and the rate impact for this specific program was indicated as 0.000%. There was no written premium change or policyholders affected by this filing. The total written premium for this program remained unchanged at $0.",,,"Based on the information provided in the insurance company's filing, the key points regarding the rate filing are:

1. This is a rule update filing for Liberty Mutual Insurance Company and Liberty Mutual Personal Insurance Company's Homeowners program in Idaho.

2. The filing is requesting a new business effective date of May 19, 2025. There is no impact to in-force policies.

3. The rate impact for this filing is 0.0% - there is no overall rate increase or decrease. 

4. The filing updates the Homeowners Rule Manual, specifically the G14. Tiering Program section. This appears to be a revision to the variables used in the policy tiering program.

5. The filing was previously submitted in Idaho under SERFF Tracking Number LBPM-133458815 in November 2022 for the initial Homeowners rate and rule program. 

6. This current filing is being filed ahead of the domiciliary state approval, as the company has internal system limitations and is seeking approval by May 1, 2025 to implement the changes on the requested effective date.

In summary, this is a rule revision filing for Liberty Mutual's Homeowners product in Idaho, with no overall rate impact, focused on updating the policy tiering variables. The company is requesting an expedited review and approval prior to domiciliary state approval.",,"GPT doesn't provide any useful information. Claude gives some info on how they're changing their tiering program, revising the variables in the tiering program (it's odd that the summary says it ""appears"" there's a change in the tiering variables; I agree with this assessment, that would be my summary too because the wording isn't explicit, it notes a change to tiering and then giving a list of the variables used, not noting what the variables used to be). "
SFMA-134449763,Form,3/7/2025,4/15/2025,4/15/2025,Assigned,"We respectfully submit this Manufactured Home Application / Applicant(s) Acknowledgement Filing.  The details of the
changes are outlined in the attached Filing Memorandum.
We submit this filing to be effective April 15, 2025 or as soon thereafter as the necessary procedural changes have been
implemented.
Sincerely,
Matt Cairo
(309)735-1571
matthew.cairo.yag0@statefarm.com
Paul Lazoen
309-994-6475
paul.lazoen.rhy4@statefarm.com",,04.0 Homeowners,04.0002 Mobile Homeowners,KS,176,[25143],3/10/2025,"The rate filing is a submission by State Farm Fire and Casualty Company for their Manufactured Home Application/Applicant(s) Acknowledgement (Form EB 2566 KS.4) in Kansas. The filing includes changes to the form, such as minor branding updates and the addition of a Loss Assessment field. The effective date requested for the filing is April 15, 2025. The filing indicates that there are no state fees required for this submission, and the form has been revised with a new edition date of April 2025. Overall, the rate filing appears to be focused on updating and enhancing the Manufactured Home Application/Applicant(s) Acknowledgement form for homeowners and mobile homeowners in Kansas.",,,"Based on the information provided in the filing, this appears to be a form filing for a Manufactured Home Application / Applicant's Acknowledgement form (form number EB 2566 KS.4) by State Farm Fire and Casualty Company for the state of Kansas.

The key points from the filing summary are:

1. This is an update to the existing EB 2566 KS.3 form, with the following changes:
   - Minor branding and formatting updates
   - Addition of a ""Loss Assessment"" endorsement field
2. The filing is requesting an effective date of April 15, 2025 or as soon as procedurally possible.
3. The filing includes supporting documents such as a filing memorandum, a forms list, and a side-by-side comparison of the changes.
4. There are no rate-related changes included in this filing - it is focused solely on form revisions.

In summary, this appears to be a routine form update filing by State Farm for their Manufactured Home product in Kansas, with no rate impacts.",,
AMSI-134336870,Rate/Rule,3/7/2025,6/25/2025,8/25/2025,Submitted to State,"American Strategic Insurance Corp. (ASIC) respectfully submits for your approval a rate and rule revision to our Homeowners
program. Please see the Explanatory Memorandum for further details.
If you have any questions or comments, please do not hesitate to contact me.
Thank you,
Andrew Tuesday
Progressive Home
Product Manager",,04.0 Homeowners,04.0003 Owner Occupied Homeowners,MI,155,[10872],3/10/2025,"The rate filing submitted by American Strategic Insurance Corp. for their Homeowners program in Michigan includes a Rate/Rule revision for the MI HOH RATE/RULE 2025-06. The filing was submitted on 03/07/2025 and is seeking an Effective Date of 06/25/2025 for new business and 08/25/2025 for renewals. The filing indicates an overall rate increase of 8.000% compared to the last rate revision on 10/09/2024.

The rate data applies to Tornado, Wind, Hail, Water Backup, Water-Weather, Water-Non-Weather, Fire-Brush, Fire-Home, Lightning, Liability, Theft, and All Other Perils. Additionally, the rate filing provides detailed information on Territory Factors based on various ZipCodes, with specific factors assigned for different perils in each territory. The filing method is noted as Prior Approval, and the Company Tracking # is MI HOH RATE/RULE 2025-06. The product name is Homeowners, under the TOI/Sub-TOI 04.0 Homeowners/04.0003 Owner Occupied Homeowners in Michigan.",,,"Based on the information provided in the rate filing, here is a summary:

1. This is a rate and rule revision filing for the Homeowners (HOH) program of American Strategic Insurance Corp. in Michigan.

2. The overall indicated change in rates is 12.1%, with an overall rate impact of 10.1%. The filing is requesting an increase in rates.

3. The rate changes will affect approximately 80,640 policyholders, with a total written premium of $132,335,606 for this program.

4. The main changes proposed in this filing are:
   - Revisions to the rate pages and rating factors for the MI HO3 program
   - Revisions to several rules in the MI HOH Rules Manual, including E101, E113, R303, R304, and R306

5. The filing references previous rate filings, including AMSI-134112535 (a prior 8% rate increase) and AMSI-133686372 (a previous rules manual update).

6. The filing provides various actuarial exhibits and supporting documentation, including rate pages, rules manual revisions, explanatory memorandums, and other actuarial analysis.

In summary, this is a rate and rule revision filing by American Strategic Insurance Corp. for its Michigan Homeowners program, requesting an overall 10.1% rate increase to take effect in 2025.",,
USAA-134449959,Rule,3/7/2025,7/25/2025,7/25/2025,Closed-REVIEWED,"This is a clerical change to our recently approved rule pages (USAA-134360662) to correct the effective dates and to provide a
clean copy under the rate/rule schedule tab for MO-12.",,04.0 Homeowners,04.0003 Owner Occupied Homeowners,MO,200,"[21253, 25941, 25968, 18600]",3/10/2025,"From the information provided in the filing, the insurance companies involved in the rate filing for homeowners insurance in Missouri are Garrison Property and Casualty Insurance Company, United Services Automobile Association, USAA Casualty Insurance Company, and USAA General Indemnity Company. The product name is ""Homeowners,"" falling under the line of business 04.0 Homeowners and sub-line of business 04.0003 Owner-Occupied Homeowners.

The filing was a rule type filing conducted on 03/07/2025 with the SERFF tracking number USAA-134449959. The state tracking number was 13, and the company tracking number was MO2500111. The effective date requested for both new business and renewal business was 07/25/2025.

The filing included a clerical change to recently approved rule pages to correct effective dates and provide a clean copy. The premium determination for the homeowners insurance policies included factors such as amount of insurance, deductibles, number of bathrooms, underwriting tier, territory, protection/construction, roof type and age, square footage, named-insured age, marital status, garage type/size, foundation type, number of stories, number of fireplaces, policy form, personal property coverage amount, special personal property coverage, and home protector.

Discounts and surcharges were also considered in the premium determination, including protective device credits for burglar alarms and fire alarms, automatic sprinkler discounts, connected home discounts, auto and home combination",,,"Based on the information provided in the filing, this appears to be a clerical change filing to correct the effective dates and provide a clean copy of one of the rule pages (MO-12) for the Homeowners insurance product in Missouri.

The key points are:

1. This is a filing by Garrison Property and Casualty Insurance Company, United Services Automobile Association, USAA Casualty Insurance Company, and USAA General Indemnity Company for their Homeowners insurance product in Missouri.

2. The filing is a rule page revision with the main changes being to the effective dates, which are now July 25, 2025 for both new and renewal business (previously had July 30, 2025).

3. The filing includes revised rule pages MO-10, MO-11, and MO-12, with MO-12 being a clean copy replacement.

4. This appears to be a routine administrative filing to update the effective dates and provide a clean version of one of the rate/rule pages. The filing was reviewed and closed by the regulator without any outstanding issues.

In summary, this is a relatively minor filing to make some administrative updates to an existing Homeowners insurance program in Missouri.",,
ALSE-134450014,Rate,3/7/2025,3/17/2025,5/1/2025,Assigned,"In accordance with TCA §56-5-302, Allstate wishes to submit this rate filing as File and Use under the expedited alternative
provision.
With this filing, Allstate is proposing an overall 10.7% rate level change to the Allstate Vehicle and Property Insurance
Company (AVPIC) Homeowners - Owner Occupied Homeowners (HO) program in the state of Tennessee.
Allstate is proposing revisions to the following rating plan: Water Backup Endorsement. The overall rate level change has been
achieved through revision of the Rate Adjustment Factors and Rate Level Factors. Further information regarding these
changes can be found in the enclosed attachments.
This change will apply to new business written on or after March 17, 2025 and for renewals effective on or after May 1, 2025.",,04.0 Homeowners,04.0003 Owner Occupied Homeowners,TN,8,[37907],3/10/2025,"Based on the information provided in the filing with the DOI from Allstate Vehicle and Property Insurance Company for a rate change of 10.7% for the AVPIC HO program in the state of Tennessee, here is a summary of the key details:

1. **Company Information**: Allstate Vehicle and Property Insurance Company, based out of Northbrook, Illinois, is submitting this rate change filing under the expedited alternative provision.

2. **Rate Change Details**: Allstate is proposing an overall 10.7% rate level change for the AVPIC Homeowners - Owner Occupied Homeowners program in Tennessee. This change will apply to new business written on or after March 17, 2025, and for renewals effective on or after May 1, 2025.

3. **Filing Information**: The filing was submitted on 03/07/2025. The DOI tracking numbers are SERFF Tracking #: ALSE-134450014 and State Tracking #: 250651.

4. **Supporting Documents**: Various attachments, including the Filing Memo, Manual, Rate Justification for Personal Lines, and Filing Checklist, have been submitted to support the rate change proposal.

5. **Premium Components**: The filing includes reweighting of Premium Components 1-3, Premium Components 4-5, and Premium Components 6-7.

6. **Hurricane Modeled Loss Provision**: Verisk's Touchstone 2022 US Hurricane Model Version 18.",,,"Here is a summary of the key points from the rate filing:

- Allstate Vehicle and Property Insurance Company (AVPIC) is proposing an overall 10.7% rate level increase for its Homeowners - Owner Occupied Homeowners (HO) program in Tennessee. 

- The rate changes will apply to new business written on or after March 17, 2025 and for renewals effective on or after May 1, 2025.

- The overall rate level change has been achieved through revision of the Rate Adjustment Factors and Rate Level Factors. The filing includes changes to the Water Backup Endorsement.

- The filing uses 5 years of historical experience data (2019-2023) to calculate the indicated rate level changes by premium component group. 

- The filing includes detailed analyses and adjustments for non-weather losses, weather losses (wind/hail, water, lightning), modeled hurricane losses, expenses, profit provisions, and premium trends.

- The indicated rate level changes by premium component group range from +1.0% to +18.5%, with an overall indication of +10.8% and a proposed overall rate increase of 10.7%.

- The filing provides support for the reasonableness of the assumptions and methodologies used, in accordance with actuarial standards of practice.

In summary, Allstate is seeking a 10.7% overall rate increase for its Tennessee Homeowners program based on its analysis of recent historical experience and prospective cost projections.",,
LBPM-134447081,Rate/Rule other than PPA,3/6/2025,6/21/2025,7/26/2025,Submitted to State,"We are submitting this filing to update our fees. Please see the associated filing exhibits for the detailed changes.
As always, if you have any questions or concerns, please feel free to contact us. Thank you for your consideration.",,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,GA,111,"[36447, 33600]",3/10/2025,"The rate filing submitted by LM General Insurance Company and LM Insurance Corporation for their Homeowners insurance product in Georgia involves updating their premium payment plan and associated fees. The filing includes adjustments to billing fees to align with the fee structure by state, line of business, and brand. The changes aim to simplify and streamline processes, thereby improving customer, employee, and agent experience. The effective date requested for the new rates is June 21, 2025. The filing involves a neutral rate change type with an overall percentage of the last rate revision at 15.4% on November 9, 2024. Additionally, the premium payment plan allows for multiple installment payments, subject to installment fees, with reduced fees for electronic funds transfer and waivers for payroll deduction.",,,"Based on the information provided in the insurance company's DOI filing, this appears to be a rate/rule filing for their Homeowners insurance product in the state of Georgia. The key details are:

- The filing is to update the premium payment plan rules, specifically related to the installment fee charged. The filing indicates the installment fee will be reduced for customers paying by electronic funds transfer or waived for those paying by payroll deduction.

- This is a neutral rate filing, meaning there is no overall rate change being requested. The filing is focused on updating the policy administration rules around premium payment options.

- The filing was submitted by LM General Insurance Company and LM Insurance Corporation, which are part of the Liberty Mutual Insurance Group. 

- The total filing fee for the two companies is $150, which is the $75 per company fee required by Georgia, as the domicile state (Illinois) does not have a fee for rate/rule filings.

- The effective date for the new premium payment plan rules is requested to be June 21, 2025.

In summary, this filing is focused on updating the premium payment plan and installment fee structure for the Homeowners insurance product in Georgia, with the goal of simplifying billing processes and options for customers. There is no overall rate level change being requested.",,
LBPM-134447335,Rate/Rule other than PPA,3/6/2025,6/21/2025,7/26/2025,Submitted to State,"We are submitting this filing to update our fees. Please see the associated filing exhibits for the detailed changes.
As always, if you have any questions or concerns, please feel free to contact me. Thank you for your consideration.",,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,GA,111,"[23043, 12484]",3/10/2025,"The rate filing submitted by Liberty Mutual Insurance Company and Liberty Mutual Personal Insurance Company pertains to their Homeowners insurance product in Georgia. The filing was submitted on 03/06/2025, with an effective date requested of 06/21/2025 for new policies and 07/26/2025 for renewals. 

The filing includes updates to their premium payment plan and fees for Homeowners insurance policies. Specifically, it outlines that premium payments can be made in multiple installments after an initial down payment, with potential installment fees, late fees, and fees for dishonored payments. The changes aim to simplify and streamline processes and align billing fees across states and lines of business.

The overall rate change indicated in this filing is neutral, with a 0.0% impact on written premium and policyholders affected. The submission includes detailed information on company details, filing fees, rate changes, and supporting documents such as the Premium Payment Plan and Explanatory Memorandum.

Overall, the rate filing focuses on adjusting billing fees to improve customer, employee, and agent experience, with specific changes to the premium payment plan for Homeowners insurance policies in Georgia.",,,"Based on the information provided in the insurance company's filing, the key points are:

1. The filing is to update the premium payment plan and fees for the GA Homeowners product. 

2. The key changes are:
- A flat $5 installment fee will be charged for premium payments made in multiple installments, with a $2 reduction for customers paying by electronic funds transfer or no fee for customers paying by payroll deduction.
- A $25 fee will be charged for premium payments dishonored due to non-sufficient funds.
- A $15 late fee will be charged for unpaid premium installment bills.

3. The effective date for these changes is June 21, 2025.

4. The filing indicates these changes are part of an effort to simplify and streamline the billing processes, with the goal of improving customer, employee, and agent experience.

5. The filing includes the required supporting documents such as the filing compliance certification, fee transmittal form, and explanatory memorandum.

In summary, this is a rate/rule filing by Liberty Mutual to update the premium payment plan and associated fees for their GA Homeowners product.",,
TRVD-G134448245,Rule,3/6/2025,5/18/2025,7/7/2025,Closed-Filed,"With this filing, we are making revisions to the Kansas Quantum Homeowners 2.0, Quantum Homeowners, Homeowners, and
High Value Homeowners programs as detailed in the accompanying documentation.
For our Quantum Home 2.0 product, this change applies to new business issued and effective on or after 5/18/2025, and to
renewal business issued on or after 5/18/2025 and effective on or after 7/7/2025.
For our Quantum Home product, this change applies to renewal business issued on or after 5/18/2025 and effective on or after
7/7/2025.
For our Legacy Home and Legacy High Value Home products, this change applies to renewal busisness issued on or after
5/18/2025 and effective on or after 7/7/2025.",,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,KS,3548,"[19062, 25623, 19070, 27998, 25658, 25666, 28188, 38130, 36161]",3/10/2025,"The rate filing includes multiple optional coverage packages and endorsements for homeowners insurance policies offered by The Automobile Insurance Company of Hartford, Connecticut and its affiliated companies, under the product names Quantum Homeowners 2.0, Quantum Homeowners, Homeowners, and High Value Homeowners in the state of Kansas. The filing features various enhancements and extensions to coverage, such as Loss Assessment Coverage, Enhanced Home Package, Legacy Home Package, Legacy High Value Home Package, Additional Coverage Endorsements, and supporting documents including Actuarial Justification, Complete and Current Manual for all Rate/Rule Filings, Exhibit of Premiums and Losses, Explanatory Memo on Rules, Redline Requirement tracked documents, and more.

Multiple companies under The Travelers group are included in the filing, providing a comprehensive package of coverage options for homeowners in Kansas. The effective date for the new rates and rules is requested to be May 18, 2025, for new business and renewal business effective July 7, 2025. The package includes features like Loss Assessment Coverage, coverage for various packages and enhancements with corresponding rate filings and supporting documents.

Additionally, the filing incorporates details on rate adjustments, rule revisions, and effective dates requested for the changes in coverage and rates. The filing comprises a comprehensive set of rules, rate actions, and coverage enhancements across various components of homeowners insurance, including property, liability, personal property, and additional living expenses.",,,"Based on the filing, here is a summary of the key points:

1. This is a multi-state filing by several Travelers insurance companies for their Quantum Homeowners 2.0, Quantum Homeowners, Homeowners, and High Value Homeowners products in Kansas.

2. The filing includes updates and revisions to various coverages, endorsements, and rating rules for these homeowners products. Some of the key changes include:

- Revisions to the Additional Coverage Package, Premier Additional Coverage Package, Decreasing Deductible & Loss Forgiveness Package, Enhanced Security Package, Enhanced Water Package, and Roof and Siding Matching Package.
- Updates to the Loss Assessment coverage rules.
- Changes to the Enhanced Home Package endorsement.
- Revisions to the Modified Loss Settlement option.
- Updates to the Additional Coverage Endorsement - ACE.

3. The filing indicates that the changes for the Quantum Home 2.0 product apply to new business issued and effective on or after 5/18/2025, and to renewal business issued on or after 5/18/2025 and effective on or after 7/7/2025. For the Quantum Home product and the Legacy Home/Legacy High Value Home products, the changes apply to renewal business issued on or after 5/18/2025 and effective on or after 7/7/2025.

4. The filing does not include any overall rate changes. It is focused on updates to the various coverage packages, endorsements, and rating rules.

5. The filing was originally submitted on 3/6/2025 and was approved and filed on 3/10/2025 after an initial objection letter was addressed by the company.",,
