SERFF#,State,Group_Code,Company_Code,Company_Code_all,Objection_letter_date,Objectionletter#,Objection#,Objection
AR_HART-134205144,AR,91,30104,"[30104, 27120, 29459, 19682]",08/26/2024,Objection_letter1,objection1,Objection 1           Comments: Please amend the renewal effective date to 12/24/2024 or after.
AR_HART-134205144,AR,91,30104,"[30104, 27120, 29459, 19682]",08/26/2024,Objection_letter1,objection2,Objection 2           Comments: Explain the changes being made and provide supporting documentation.
AZ_HART-134125762,AZ,91,34690,[34690],No objections,No objections,No objections,No objections
AZ_HART-134126575,AZ,91,34690,[34690],05/31/2024,Objection_letter1,objection1,"The Department has reviewed the filing and has the following interrogatories/objections. As submitted filing does not comply with Arizona statutes and/or administrative code.  While grounds exist to disapprove the filing, we are providing you with an opportunity to resolve the objections or to withdraw the filing.  If neither occurs, we will disapprove or reject the filing as ambiguous, misleading or deceptive or otherwise failing to comply with Arizona law.  The objections are:      Objection 1           Comments: Inasmuch as your company has an indicated rate change of 51.8% and a rate change of only 5.5% has been selected, pursuant to ARS § 20-385(B), please explain what steps your company plans on taking to reduce the possibility of inadequate rates.  Due consideration should be given to past and prospective loss experience within and outside this state, to catastrophe hazards, if any, to a reasonable margin for underwriting profit and contingencies, to dividends, savings or unabsorbed premium deposits allowed or returned to policyholders, members or subscribers, to past or prospective expenses within and outside this state, to investment income, and to all other relevant factors within and outside this state. [PC0103]"
AZ_HART-134126762,AZ,91,34690,[34690],No objections,No objections,No objections,No objections
AZ_HART-134169291,AZ,91,27120,"[27120, 29459, 22357, 19682]",No objections,No objections,No objections,No objections
AZ_HART-134169292,AZ,91,27120,"[27120, 29459, 22357, 19682]",No objections,No objections,No objections,No objections
CT_HART-134120965,CT,91,37478,[37478],06/04/2024,Objection_letter1,objection1,Please review the following comments and respond accordingly. Please explain the reason why the company propose to take a rate change above the actuarial rate indications.
CT_HART-134122385,CT,91,11000,[11000],06/25/2024,Objection_letter1,objection1,Please review the following comments and respond accordingly. please explain why the rate change impact is above the actuarial indicated rate need.
CT_HART-134164121,CT,91,29424,"[29424, 38261, 27120, 22357]",No objections,No objections,No objections,No objections
CT_HART-134180121,CT,91,29424,"[29424, 38261, 27120, 22357]",07/29/2024,Objection_letter1,objection1,"Please review the following comments and respond accordingly.      Objection 1           Comments: We see varying % changes by peril in the base rate % change exhibit. HO Actuarial Support.   We would be therefore be expecting to see indications by peril. However, we see your answer to the Actuarial Checklist Question Section A; #2 Notes says "" A.2.C. - We are not changing rates on a by-peril level."" Please revise your Base Rate changes and Base Rate pages (and Side by Side pages) to be the same for each peril as this is what your Actuarial Checklist is saying you are proposing. We have already rejected your first version of this filing for having individual companies greater than 6% which is not allowed in our FLEX bulletin. We are not happy to have to be asking the above question.  Please provide proper filing materials promptly;  or withdraw this filing and file as a regular filing if you do intend to make changes by peril as we will need to review the full by peril analysis."
CT_HART-134180353,CT,91,39608,[39608],No objections,No objections,No objections,No objections
DE_HART-134043522,DE,91,34690,[34690],No objections,No objections,No objections,No objections
DE_HART-134043699,DE,91,30104,[30104],No objections,No objections,No objections,No objections
DE_HART-134073239,DE,91,37478,"[37478, 27120]",No objections,No objections,No objections,No objections
DE_HART-134227142,DE,91,39608,[39608],No objections,No objections,No objections,No objections
GA_HART-134142440,GA,91,29424,"[29424, 37478, 38261, 27120]",No objections,No objections,No objections,No objections
GA_HART-134199667,GA,91,37478,[37478],09/11/2024,Objection_letter1,objection1,Please respond to the following: Please update the filing to include the previous filing number in the rate/rule tab
GA_HART-134201522,GA,91,34690,[34690],No objections,No objections,No objections,No objections
IA_HART-134204138,IA,91,39608,[39608],09/23/2024,Objection_letter1,objection1,Have the proposed changes been implemented?
IA_HART-134204138,IA,91,39608,[39608],09/23/2024,Objection_letter1,objection2,How were the rates for the new endorsements determined?
IA_HART-134204138,IA,91,39608,[39608],09/23/2024,Objection_letter1,objection3,"Please provide the derivation of the proposed +7.5% overall rate level effect, including the components of change, i.e., base rates, rating factors, etc. Thank you for your assistance. Michael Morro, ACAS, MAAA INS Consultants, Inc."
IA_HART-134204138,IA,91,39608,[39608],09/03/2024,Objection_letter2,objection1,"Please see the attached questions regarding the actuarial review of this filing. Thank you for your assistance. Michael Morro, ACAS, MAAA INS Consultants, Inc."
IL_HART-134116217,IL,91,38261,[38261],07/10/2024,Objection_letter1,objection1,"Objection 1           Comments: Please provide a histogram for each form type that shows the number of policyholders receiving renewal premium changes in the following ranges: <-10%, -10% - 0%, 0% - +10%, +10% - +20%, , +80% - +90%, >+%90."
IL_HART-134116217,IL,91,38261,[38261],07/10/2024,Objection_letter1,objection2,Objection 2           Comments: What are the proposed rating plan changes that will cause existing policyholders to see large renewal premium increases up to 92.6%?
IL_HART-134116217,IL,91,38261,[38261],06/28/2024,Objection_letter2,objection1,"Objection 1           Comments: could the company provide some rate numbers for this rate increase.  We understand you only have a couple years of numbers, but the rate increase you are requesting is quite large. Thank You."
