SERFF#,State,Group_Code,Company_Code,Company_Code_all,Objection_letter_date,Objectionletter#,Objection#,Objection,download_week
AK_ALSE-134341177,AK,8,19232,[19232],12/16/2024,Objection_letter1,objection1,"Since adequate support has not been provided for the director to determine if the filing meets the requirements of AS 21.39, the waiting period in AS 21.39.220(b) has not commenced and the proposed effective date may not comply with the waiting period requirement. If necessary, a new effective date must be requested in your response, which must again allow for at least a 30-day waiting period following its receipt by the division. The response must identify any changes to the filing; see 3 AAC 31.210(p).  If the revisions have impacted the rate level impacts required to be reported in the transmittal document per 3 AAC 31.225(c)(2) and (3), the revised impacts must be provided as required by 3 AAC 31.225(e). If neither a response nor a written request for a 15-day extension is received within 30 days from the date of this letter, the division will disapprove the filing and the filing shall not become effective.  A response received after the expiration of the response period must be a complete resubmission of the filing, which specifically addresses the above questions and comments and references the tracking number; 3 AAC 31.210(i).  The response must be received before 3:00pm Alaska time (6:00pm Central) on the due date. If a response is received after 3:00 pm Alaska time (6:00 pm Central) or on a weekend or state holiday, the receipt date is the next working day as required by 3 AAC 31.205(b).  Therefore, when the due date falls on a weekend or state holiday, the response must be submitted no later than 3:00pm on Friday or 3:00pm of the working day before the state holiday.      Objection 1           Comments: Although the Overall % Rate Impact is 4.100%, it is indicated that the maximum rate increase is 11.00%. Please provide a histogram and provide the characteristics of the insured(s) receiving the maximum rate increase.",2025-02-10
AZ_SFMA-134391751,AZ,176,25143,[25143],01/31/2025,Objection_letter1,objection1,"The Department has reviewed the filing and has the following interrogatories/objections. As submitted filing does not comply with Arizona statutes and/or administrative code.  While grounds exist to disapprove the filing, we are providing you with an opportunity to resolve the objections or to withdraw the filing.  If neither occurs, we will disapprove or reject the filing as ambiguous, misleading or deceptive or otherwise failing to comply with Arizona law.  The objections are:      Objection 1           - Manual Pages, See Attached (Rate)           Comments: Please provide the redlines under the supporting documents tab. [PC9999]",2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],01/27/2025,Objection_letter1,objection1,What would be the new effective date for the proposed rate filing if the filing can be approved in this week?,2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],01/21/2025,Objection_letter2,objection1,Would Allstate consider opening to new business anytime soon on the book?,2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],01/03/2025,Objection_letter3,objection1,"4%, respectively.",2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],01/03/2025,Objection_letter3,objection2,"Please confirm that 2) is trended. If it is, please provide detailed calculations on how it is trended, and what trend is used.",2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],01/03/2025,Objection_letter3,objection3,"Please provide a hypothetical exhibit 15, with 1) and 3) using a severity trend of 8.4% and AIY trend of 1.4%, rather than 9.6% and",2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],12/17/2024,Objection_letter4,objection1,"For exhibit 15, please provide justification for the application of severity trend and AIY trend to 1) and 3), when no trend was applied in the losses to AIY in the cat adjustment factor calculation.",2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],11/20/2024,Objection_letter5,objection1,"For FFEQ, please provide the AIR risk management report.",2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],11/13/2024,Objection_letter6,objection1,"For FFEQ model provision, are there other wildfire model outside of Verisk Touchstone that you are licensed with, but not considered in exhibit 14? If so, why is that the case?",2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],11/13/2024,Objection_letter6,objection2,"Are there any new Brushfire Underwriting Restriction, for new business or renewal business?",2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],11/13/2024,Objection_letter6,objection3,Are there any block non-renewal expectations planned?,2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],11/13/2024,Objection_letter6,objection4,Please provide a full copy of the current and proposed manual.,2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],09/24/2024,Objection_letter7,objection1,"Please provide a complete version of the current, proposed and marked-up version of the manual.",2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],09/24/2024,Objection_letter7,objection2,"In exhibit 14, please verify that the selected premium change revolving around the variable package premium is with regards to the base rate change, and the additional coverage selected premium change is with regard to the coverage A change.",2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],09/24/2024,Objection_letter7,objection3,Please provide additional quantitative support on how you derived the figures in exhibit 14.,2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],09/24/2024,Objection_letter7,objection4,"In exhibit 15, please provide details on how row 5) (ULAE provision) and 6) (Variable expense and profit ratio) are calculated",2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],09/24/2024,Objection_letter7,objection5,"What unit is being counted for historical experience credibility and trend credibility? What is the credibility standard for experience, and for trend?",2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],09/24/2024,Objection_letter7,objection6,"Going forward, please provide an effective date in rate application page 4, similar to page 1 in rate template",2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],09/24/2024,Objection_letter7,objection7,"The Paid Claim Counts + Closed With No Payment Claim Counts development triangle is equal to the Reported Claim Counts development triangle for this coverage/form/program in the Standard Exhibits Template. Paid Claims + Claims Closed With No Payment should theoretically include only open paid claims, closed paid claims, and claims closed without payment; Reported Claims, however, include the aforementioned claim types as well as open unpaid claims. Therefore, I expect Paid Claim Counts + Closed With No Payment Claim Counts to *not* be a 100% match with Reported Claim Counts. Please correct your data, or provide an explanation.",2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],07/17/2024,Objection_letter8,objection1,"Objection 1           - New Prior Approval Rate Application (Supporting Document)           Comments: Were there any changes to case reserving practices or mix of business between 2022 and 2023? We noticed the average case reserve increased sharply for the fiscal accident year data ending 2022Q2 to 2023Q2 at the 12-month development. On a slightly related note, your exhibit 7 memorandum says that paid development is less responsive than incurred since it lacks case reserve estimates. What is driving the increase in case reserves in recent periods, and do you expect this to continue? (Please comment also for the period between 2021 and 2022 as well since the case reserves and open claims had a noticeable decrease and then rebounded in 2023.)",2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],03/28/2024,Objection_letter9,objection1,"Our records indicate that the deemer date for this filing is April 23,2024. In order for us to complete our review, we request a waiver of the deemer. We ask that Allstate Insurance Company submits a SERFF note with the wording below to waive the deemer provisions: Regarding the above-referenced rate application, Allstate Insurance Company (""applicant"") hereby waives all deemer provisions of California Insurance Code Section 1861.05, specifically, the 60-day deemer and the 180-day deemer. If the applicant wishes to reactivate the deemer provisions, the applicant will make its request in writing to the Department of Insurance Rate Filing Bureau, Los Angeles, California. Upon reactivation, the 60-day deemer will resume five days after the Department's receipt of the applicant's request to reactivate the deemer, on day 34, and the 180-day deemer will resume five days after the Department's receipt of the applicant's request to reactivate the deemer, on day 57.",2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],02/15/2024,Objection_letter10,objection1,"The group name should match between SERFF, the application, and the Affidavit. Please revise the group name field to "" Allstate insurance Group"" in SERFF under the ""Companies and Contact"" tab.",2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],02/14/2024,Objection_letter11,objection1,The group name should match between SERFF and the Affidavit. Please make the necessary changes.,2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],02/14/2024,Objection_letter11,objection2,Please upload a filing memorandum and an actuarial memo to this filing.,2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],02/14/2024,Objection_letter11,objection3,Submit the current manual pages.,2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],02/14/2024,Objection_letter11,objection4,Why weren't copies of the reinsurance agreements submitted in this filing?,2025-02-10
CA_ALSE-133973140,CA,8,19232,[19232],02/14/2024,Objection_letter11,objection5,"Please acknowledge that during the course of review for this filing, you may be asked to resubmit Exhibit 20 in the attached sample format.",2025-02-10
CT_ALSE-134371730,CT,8,19232,[19232],01/10/2025,Objection_letter1,objection2,"COVERAGE A - BUILDING PROPERTY PROTECTION INCREASED LIMITS ADDITIONAL PREMIUM PER $1,000 OF INCREASED COVERAGE A BASE DEDUCTIBLE a.Please provide a narrative and examples for the Additional Coverages  Coverage A.  We are not understanding what this coverage is. Please provide rule pages to explain what this is as well. Is this an endorsement that is available? Is this on every policy? b.Does all policyholders get the 29.8% increase for this in this filing? Please provide example to demonstrate 3 different scenarios if the answer is no. c.Please provide an actuarial explanation of a reconciliation from this same analysis proposed in the prior filing of 15.6% to this change of 29.8%. Please explain why this is increasing so much?  If this item was adequate with the last rate change, and now the variable premiums are only increasing 1.2% why is this changing so much; why wouldnt this item be need rate adequate or not nearer to the 1.2% change? d.We are not understanding if a full Coverage A analysis or a full deductible analysis is needed. We are not understanding how you methodology is adjusting for both aspects of this. Obviously, the size of this increase is worrisome.",2025-02-10
