SERFF#,Filing Type,Date Submitted,SERFF Status,State,Group_Code,Company_Code,Company_Code_all,Objection_letter_date,Objectionletter#,Objection#,Objection,download_week
AL_LBPM-134409447,Form,02/10/2025,Closed-Approved,AL,111,42404,"[42404, 23035, 33600, 12484]",No objections,No objections,No objections,No objections,2025-02-17
AL_SFMA-134391843,Rate/Rule,01/30/2025,Closed-Approved,AL,176,25143,[25143],No objections,No objections,No objections,No objections,2025-02-17
AZ_FARM-134267371,Form,10/02/2024,Closed-Form Approved,AZ,69,21598,[21598],01/15/2025,Objection_letter1,objection1,"The Department has reviewed the filing and has the following interrogatories/objections. As submitted filing does not comply with Arizona statutes and/or administrative code.  While grounds exist to disapprove the filing, we are providing you with an opportunity to resolve the objections or to withdraw the filing.  If neither occurs, we will disapprove or reject the filing as ambiguous, misleading or deceptive or otherwise failing to comply with Arizona law.  The objections are:      Objection 1           Comments: The company's response to the objection is Valid, However, there is still an equipment breakdown endorsement out there. The company would need to file that endorsement, which can be in this filing, advising it is withdrawn from use in AZ. Please file as a withdrawn form in this filing [PC9999]",2025-02-17
AZ_FARM-134267371,Form,10/02/2024,Closed-Form Approved,AZ,69,21598,[21598],11/15/2024,Objection_letter2,objection1,"The Department has reviewed the filing and has the following interrogatories/objections. As submitted filing does not comply with Arizona statutes and/or administrative code.  While grounds exist to disapprove the filing, we are providing you with an opportunity to resolve the objections or to withdraw the filing.  If neither occurs, we will disapprove or reject the filing as ambiguous, misleading or deceptive or otherwise failing to comply with Arizona law.  The objections are:      Objection 1           Comments: Equipment Breakdown Coverage The Department objects to the current form language. This filing will remain open until such time as this language is removed . In addition any related Rate or Rule filings will need to be revised or withdrawn. The Department asks for a prompt revision or withdrawal of the form(s) but not later than 60 days from this date. [PC0324]",2025-02-17
AZ_FARM-134267371,Form,10/02/2024,Closed-Form Approved,AZ,69,21598,[21598],11/01/2024,Objection_letter3,objection7,"Equipment Breakdown Coverage; The Department objects to including service contract coverages in an insurance policy, within the same policy document. Service contracts are regulated under different laws under Title 20 regulations and require the obligor to obtain a permit to engage in the service contract business. Additionally, a service contract requires a separate consideration from the one for an insurance contract. There must be a clear distinction between the two types of coverage and how each affects consumers rights and obligations. Pursuant to ARS 20-1095 et seq. an entity issuing service contracts needs to obtain a permit in order to do so. Issuing service contracts without the appropriate registration constitutes an unlicensed activity and is prohibited by law. Additionally, combining two disassociated coverages within the same policy without notice that the consumer is entering into two separate coverage contracts causes consumer harm and confusion and is in violation of Arizonas Unfair Practices Act. See ARS 20- 443, 461. An insurance policy coverage is distinct and separate from the ones of a service contract and each can affect a consumers rights and obligations differently. In this case, Farmers Insurance Company of Arizona and Policy Form 93-7726 and any other forms that contain similar coverages, does not comply with the statutory provisions cited above. The company does not hold a service company permit and is not authorized to sell service contracts in Arizona. Furthermore, the current form filing includes both insurance coverage and service contract coverage within the same form without any explanations or information relating to the differences between the two coverages which will cause consumer confusion. Any claims under an insurance policy are treated differently from those under a service contract and the implications for a consumer under each coverage are very distinct. Without clearly explaining the differences and providing sufficient information to a consumer to make a well-informed decision, the current form language misrepresents pertinent facts and insurance policy provisions relating to coverage. The Department objects to the current form language. This filing will remain open until such time as this language is removed.  In addition any related Rate or Rule filings will need to be revised or withdrawn. The Department welcomes scheduling a prompt SERFF Tracking #: FARM-134267371 State Tracking #: FARM-134267371 Company Tracking #: HAZ021825F State: Arizona Filing Company: Farmers Insurance Company of Arizona TOI/Sub-TOI:",2025-02-17
AZ_FARM-134267371,Form,10/02/2024,Closed-Form Approved,AZ,69,21598,[21598],11/01/2024,Objection_letter3,objection04,0 Homeowners/04.0000 Homeowners Sub-TOI Combinations Product Name: Flex Home Project Name/Number: Named Peril HO3 Endorsement/IDEA1338 PDF Pipeline for SERFF Tracking Number FARM-134267371 Generated 02/17/2025 12:02 AM  meeting on this objection if the company requires further clarification on the Department's position. We look forward to discussing this further. [PC0321],2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],01/31/2025,Objection_letter1,objection2,"Page 4. You are added the following details: Risk does not exceed maximum of four families for both owner-occupied and rental properties, and Maximum of four dwellings that are tenant occupied. -What is the reason for the limiting change being introduced by Risk does not exceed maximum of four families for both owner- occupied and rental properties? -How many policy holders will be impacted by this change? -What is the impact, premium or other consequences from the proposed change? -What is the reason for the limiting change being introduced by Maximum of four dwellings that are tenant occupied. -How many policy holders will be impacted by this change? -What is the impact, premium or other consequences from the proposed change?",2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],01/31/2025,Objection_letter1,objection3,"Page 5. Under primary Dwelling you added B or 1Y  8Y for protection class 1, or 1X  8X for protection class 9. Under Secondary/Seasonal/Non-Seasonal Dwellings/Dwelling Fire you added B or 1Y  8Y next to Protection Class 1-8, and or 1X  8X next to Protection class 9, explain the following: -Please explain what the additions mean. -Explain the reason for the addition. -Was this information included in any other document prior to this addition? -Is there a description or definition that explains the meaning of the information added?",2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],01/31/2025,Objection_letter1,objection4,"Page 7. Includes proposed addition of a loss History details, please provide the following: -What is the reason for the page addition? -Was this information included in any other document prior to this addition?",2025-02-17
CA_ALSE-134306035,Rule,11/01/2024,Pending State Action,CA,8,10358,[10358],01/31/2025,Objection_letter1,objection5,"Page. 9. -Please explain the reasons Wharves, and Jetties are being proposed as ineligible exposures? -Why are dwellings located in Main, San Francisco, or San Mateo counties no longer eligible? SERFF Tracking #: ALSE-134306035 State Tracking #: 24-2199 Company Tracking #: ER52305 State: California Filing Company: Encompass Insurance Company TOI/Sub-TOI:",2025-02-17
