SERFF#,State,Filing Type,TOI,Sub-TOI,Group_Code,Company_Code,Company_Code_all,Objection_letter_date,Objectionletter#,Objection#,Objection,download_week
AZ_HART-134440906,AZ,Rate,04.0 Homeowners,04.0001 Condominium Homeowners,91,38261,[38261],02/28/2025,Objection_letter1,objection1,"The Department has reviewed the filing and has the following interrogatories/objections. As submitted filing does not comply with Arizona statutes and/or administrative code.  While grounds exist to disapprove the filing, we are providing you with an opportunity to resolve the objections or to withdraw the filing.  If neither occurs, we will disapprove or reject the filing as ambiguous, misleading or deceptive or otherwise failing to comply with Arizona law.  The objections are:      Objection 1           Comments: Inasmuch as your company has an indicated rate change of 59.8% and a rate change of only 19.9% has been selected, pursuant to ARS § 20-385(B), please explain what steps your company plans on taking to reduce the possibility of inadequate rates.  Due consideration should be given to past and prospective loss experience within and outside this state, to catastrophe hazards, if any, to a reasonable margin for underwriting profit and contingencies, to dividends, savings or unabsorbed premium deposits allowed or returned to policyholders, members or subscribers, to past or prospective expenses within and outside this state, to investment income, and to all other relevant factors within and outside this state. [PC0103]",2025-03-10
AZ_HART-134440946,AZ,Rate,04.0 Homeowners,04.0003 Owner Occupied Homeowners,91,38261,[38261],02/28/2025,Objection_letter1,objection1,"The Department has reviewed the filing and has the following interrogatories/objections. As submitted filing does not comply with Arizona statutes and/or administrative code.  While grounds exist to disapprove the filing, we are providing you with an opportunity to resolve the objections or to withdraw the filing.  If neither occurs, we will disapprove or reject the filing as ambiguous, misleading or deceptive or otherwise failing to comply with Arizona law.  The objections are:      Objection 1           Comments: Inasmuch as your company has an indicated rate change of 67% and a rate change of only 20% has been selected, pursuant to ARS § 20-385(B), please explain what steps your company plans on taking to reduce the possibility of inadequate rates.  Due consideration should be given to past and prospective loss experience within and outside this state, to catastrophe hazards, if any, to a reasonable margin for underwriting profit and contingencies, to dividends, savings or unabsorbed premium deposits allowed or returned to policyholders, members or subscribers, to past or prospective expenses within and outside this state, to investment income, and to all other relevant factors within and outside this state. [PC0103]",2025-03-10
AZ_TRVD-G134444542,AZ,Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,3548,19062,"[19062, 19070, 25666]",No objections,No objections,No objections,No objections,2025-03-10
AZ_TRVD-G134444680,AZ,Rule,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,3548,27998,"[27998, 36137]",No objections,No objections,No objections,No objections,2025-03-10
CA_LBRM-134354159,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24724,[24724],02/18/2025,Objection_letter1,objection1,"Please advise the reason why you cannot renew FNIC accounts to affiliated companies' HO3 program. Particularly HO3 under Safeco Insurance Company of America, and NHC under GICA.",2025-03-10
CA_LBRM-134354159,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24724,[24724],01/31/2025,Objection_letter2,objection1,Please include link to the home insurance finder tool on CDI website.,2025-03-10
CA_LBRM-134354159,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24724,[24724],01/31/2025,Objection_letter2,objection2,The non-renewal is the result of them no longer offering the product.  Why confuse the consumer stating it is a result of an underwriting review?  Please justify or remove it.,2025-03-10
CA_LBRM-134354159,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24724,[24724],01/28/2025,Objection_letter3,objection1,"Our records indicate that the deemer date for this filing is February 25, 2025. In order for us to complete our review, we request a waiver of the deemer. We ask that FIRST NATIONAL INSURANCE COMPANY OF AMERICA submits a SERFF note with the wording below to waive the deemer provisions: Regarding the above-referenced rate application, FIRST NATIONAL INSURANCE COMPANY OF AMERICA (""applicant"") hereby waives all deemer provisions etc. If the applicant wishes to reactivate the deemer provisions, the applicant will submit a request to reactivate in writing to CDI via SERFF. The deemer provisions will reactivate five days after the Department receives the written request to reactivate. After reactivation, the parties will have 15 days before the 60-day deemer runs and 125 days before the 180- day deemer runs.",2025-03-10
CA_LBRM-134354159,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24724,[24724],01/24/2025,Objection_letter4,objection1,"The Department has received notification of First National Insurance Company of America's intent to withdraw Legacy Homeowner (H3) Program, effective 01/01/2026; Attached is our letter explaining the regulatory impact of withdrawing an approved Program, including the requirement to abide by the following terms: - After 01/01/2026 First National Insurance Company of America will not renew any policies from the withdrawn Legacy Homeowner (H3) Program into any similar programs offered by the same insurer group in California. - First National Insurance Company of America will not file a replacement program for at least three years after the effective date of the withdrawal of the Legacy Homeowner (H3) Program. Please respond to affirmatively agree that the Company will abide by the terms stated above.",2025-03-10
CA_LBRM-134354159,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24724,[24724],01/13/2025,Objection_letter5,objection1,"Please revise your NRN to Justify the reason for non-renewal. The non-renewal is the result of them no longer offering the product. Why confuse the consumer stating it is a result of an underwriting review? “We are simply focusing our investments on core go-forward products …” This is a bit confusing, does the average insured understand what “core go-forward product” means? Clarify or eliminate the confusing language.",2025-03-10
CA_LBRM-134354159,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24724,[24724],12/26/2024,Objection_letter6,objection1,"Filing Description You refer SERFF #LBRM-134133915 as the corresponding rate filing. However, the rate filing is from GICA and for Essential program. Please correct your description.",2025-03-10
CA_LBRM-134354159,CA,Rate/Rule/Form,04.0 Homeowners,04.0000 Homeowners Sub-TOI Combinations,111,24724,[24724],12/26/2024,Objection_letter6,objection2,Non-renewal Data Please submit your non-renewal data in excel format and ensure it matches the data submitted under corresponding rate filing.,2025-03-10
